(19169, 11478), (-41, 6334)
(26962, -5705), (-23281, -9961)
(32391, 4827), (2995, -3902)
(292, 17421), (-19718, 5447)
(14771, 17035), (-25667, 1869)
(17673, -15141), (-28703, -31322)
(28253, 25547), (-32662, -20037)
(-8723, 27529), (-12316, 22190)
(19264, 9040), (288, -27446)
(-15006, 24393), (-15890, 24370)
(18756, 24084), (-19629, 4966)
(13931, 5537), (-24626, -16944)
(16118, 4639), (-4833, -22929)
(31673, 13977), (22704, -5021)
(26924, 5097), (-26777, -6270)
(23986, 23655), (-22355, 9161)
(16941, 27350), (4031, 13966)
(-15457, -18007), (-31107, -27753)
(24221, 32209), (-14945, 6422)
(27506, 16413), (-900, -18762)
(-17410, -27595), (-21548, -27624)
(9374, 10291), (3602, -4596)
(8281, 19668), (-27348, -53)
(26418, 6900), (-18127, -3728)
(-14310, 22813), (-24648, -17807)
(14309, 16519), (-20600, -18935)
(-5844, 14989), (-22798, 6224)
(-3195, -3093), (-30523, -29314)
(20580, 13458), (7448, -14798)
(20472, 18538), (19589, -28009)
(-6038, 19815), (-7958, -18190)
(-19156, 20328), (-24272, 16202)
(29869, 23844), (26362, -18875)
(21881, 3557), (-10021, -10322)
(2600, 5075), (-27892, -21003)
(17861, -5002), (-15255, -13401)
(-24182, 27088), (-28617, 9832)
(4169, 2368), (-19976, -25721)
(7441, 30145), (-21425, -3434)
(16279, -16139), (-21718, -16687)
(-193, 3297), (-22549, -19866)
(12455, 24488), (-28286, -18114)
(-4313, -5786), (-31316, -31185)
(4313, 28321), (912, -1832)
(23646, 481), (23196, -7129)
(5535, 11173), (-12044, -26292)
(17253, 26154), (-4745, -13186)
(4474, 2168), (-18787, -17958)
(9314, 29334), (-10202, 26477)
(-7487, 11833), (-24372, -7518)
(17773, 3102), (-17192, 1763)
(-29213, 1543), (-30527, -4802)
(31003, -13061), (11023, -17505)
(17222, 13064), (-22725, 8492)
(19187, 22413), (14270, -235)
(19711, 140), (7285, -18896)
(26576, 22658), (2695, -28019)
(23851, 1018), (17371, -4678)
(31060, -2800), (21119, -9010)
(12043, -7164), (-32170, -9576)
(29577, -2625), (7882, -29565)
(6902, 25423), (5629, 123)
(1264, 6202), (-3737, -10195)
(5030, 21153), (-6411, -29011)
(29790, -18662), (-4940, -30188)
(-8365, 18958), (-30900, 11477)
(19357, 6477), (-26058, 2303)
(14460, 19801), (-21113, 12993)
(19405, 31111), (12835, 6072)
(-1626, 20556), (-18823, -8526)
(12896, 29617), (-29337, -23869)
(12717, -11585), (-24423, -24229)
(12053, 3584), (6559, -22296)
(6654, -2607), (-22532, -21457)
(4675, 10067), (-911, 2223)
(-21459, 3221), (-23754, -22741)
(23850, -15205), (1626, -22279)
(12193, 1637), (-5556, -10176)
(6962, 15881), (-14413, -19855)
(20424, -1752), (13142, -27611)
(875, 12818), (-28296, -10040)
(1017, 20040), (-13169, -28112)
(28685, 19353), (-25990, -19497)
(18651, 22044), (-335, -11192)
(23775, -28503), (-25264, -29292)
(17549, 26129), (-6467, -25561)
(27813, 8213), (-20215, -20601)
(2670, 28027), (-25824, -23392)
(10075, 15498), (-6287, -32604)
(-9010, 27489), (-21221, -5706)
(12164, 31818), (7591, -7619)
(303, -4975), (-750, -21098)
(13584, 21545), (-22913, 2971)
(17546, 28289), (-8519, 1769)
(28318, 23245), (2865, -9601)
(21132, -27152), (-28570, -29901)
(-14015, -28), (-14423, -11600)
(25347, -2943), (-22409, -5049)
(21221, 29954), (1588, 608)
(21430, -748), (14146, -7949)
(15185, 18035), (-4536, -9853)
(32257, -4944), (11224, -19923)
(23318, 22549), (-20355, -25411)
(-8075, 17964), (-18584, 16142)
(21948, 20426), (-26173, -32404)
(20626, -14736), (16565, -19375)
(30814, 8256), (23936, -20482)
(-14625, 32637), (-21015, -18230)
(19690, 21416), (-10893, 5662)
(16303, 26303), (14008, 22233)
(27109, 29200), (148, -12317)
(31361, 11903), (21318, -24050)
(28489, -1282), (-29643, -14902)
(30674, -3878), (-3831, -5402)
(-19008, 26504), (-21945, -23971)
(12722, 19037), (-32685, -6698)
(31461, -1515), (-3959, -12508)
(13971, 58), (-24937, -15117)
(30212, 28082), (-24555, -18330)
(16085, 24484), (-8380, -25951)
(23073, 23977), (-18115, 17110)
(12941, 26113), (-29956, -1723)
(28, 24778), (-5071, -21974)
(-11333, -9676), (-32168, -26153)
(28650, -3309), (4686, -10116)
(26667, 26679), (-29421, 8826)
(27681, 1340), (7516, -28666)
(6021, 14721), (-29309, -17902)
(-17124, 32745), (-28423, 4806)
(23481, 21136), (9318, -31907)
(-12290, 29996), (-24114, 4084)
(7491, 14708), (-1054, 5131)
(16439, 24722), (6995, -25269)
(17659, 28486), (-18238, 27918)
(1146, 12158), (-7462, -13037)
(10647, 29292), (4098, -6602)
(13882, 18352), (-7278, -28315)
(-8762, -22336), (-31418, -25828)
(26816, 24520), (-658, -4449)
(20675, 22361), (-29560, -25162)
(16398, 8714), (-21188, -8638)
(15615, 13234), (-15075, -11521)
(14161, 19557), (905, -12549)
(22925, 19737), (-330, -28350)
(30714, 12393), (18337, -31591)
(-16337, 28664), (-19135, 13337)
(25608, 28652), (-9152, -19281)
(9876, 28396), (6249, -29174)
(-943, -1941), (-8419, -3805)
(16216, 16893), (11064, -1615)
(13509, 31172), (-15589, -19695)
(28510, 26268), (-27358, -30774)
(30910, 874), (15495, -4182)
(-6972, 4460), (-14902, -26122)
(27594, 16343), (-21577, -25605)
(13428, -9762), (2481, -11672)
(11759, 5204), (-24408, -1908)
(8166, 11367), (4319, 5945)
(21787, 30556), (-3447, 18283)
(29331, 28583), (12723, 22018)
(-9220, 32182), (-19490, 4324)
(15677, 11643), (-19677, -31068)
(-29426, 10697), (-32196, -16828)
(-9508, -11408), (-18703, -30238)
(-25128, 22501), (-26443, -23650)
(11192, -15869), (-27465, -17713)
(24901, 20972), (18634, -5177)
(25770, -2237), (-16590, -14364)
(12042, 28182), (-32179, -20169)
(5651, 7213), (-7926, 1670)
(25783, 2742), (4472, -18434)
(-10938, 9257), (-20718, -14867)
(28614, 20807), (26063, -28458)
(7586, 7833), (-19489, -6365)
(13330, 8928), (12433, -6766)
(31982, 11837), (-19810, -29352)
(31244, 9535), (11647, 6608)
(-3264, 189), (-22015, -23243)
(19812, 29891), (-24474, -9523)
(19854, 12931), (17780, -25697)
(8483, -899), (-3340, -7492)
(-1840, 1560), (-28252, -2785)
(-13210, 28791), (-31540, -21578)
(-1620, 13826), (-30971, -73)
(19790, -159), (-20418, -13578)
(27967, 10380), (12924, -6477)
(-13722, 14196), (-15370, -19019)
(13716, -25452), (11056, -31163)
(-4954, 2862), (-15460, -10904)
(20136, 9198), (14387, -7240)
(17006, 241), (-25249, -31758)
(15678, 13579), (-29621, 7296)
(27577, 2678), (-24081, -14007)
(3093, -6172), (-27753, -11784)
(29929, 8922), (-11191, -10168)
(5651, 14629), (-31577, 2144)
(-5874, 15469), (-8146, -9091)
(-236, 20640), (-26949, 9487)
(-28162, 23183), (-30180, -3065)
(16878, 12578), (-2513, -4611)
(2445, -3333), (-24750, -29975)
(22214, 28522), (-8896, 27007)
(-6705, 6321), (-31810, -7231)
(-22276, 30189), (-31351, 24208)
(29614, 3455), (27666, -29253)
(-29082, 14197), (-31348, -10861)
(-8752, 15947), (-26021, -17296)
(29859, 11376), (-18318, -12074)
(8153, 4747), (-6922, 1643)
(19926, -6450), (-24961, -20855)
(6473, -1550), (-5716, -31561)
(-1181, 2699), (-18643, -7172)
(9981, -13476), (8247, -16671)
(32372, 3989), (-23165, -9658)
(27171, 16948), (17206, -3396)
(31020, 15529), (30109, 11969)
